"","article_name","year","yearweek_start","yearweek_end","month","week","promo_01","promo_02","promo_03","promo_04","promo_05","sales","date"
"1","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-01-04","2016-01-10",1,1,0,0,0,0,0,4858,"2016-01-04"
"2","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-01-11","2016-01-17",1,2,0,0,0,0,0,4475,"2016-01-11"
"3","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-01-18","2016-01-24",1,3,0,0,0,0,0,4554,"2016-01-18"
"4","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-01-25","2016-01-31",1,4,0,0,0,0,0,4394,"2016-01-25"
"5","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-02-01","2016-02-07",2,5,0,0,0,0,0,4099,"2016-02-01"
"6","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-02-08","2016-02-14",2,6,0,0,0,0,0,4514,"2016-02-08"
"7","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-02-15","2016-02-21",2,7,0,0,0,0,0,4356,"2016-02-15"
"8","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-02-22","2016-02-28",2,8,0,0,0,0,0,4807,"2016-02-22"
"9","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-02-29","2016-03-06",3,9,0,0,0,0,0,4742,"2016-02-29"
"10","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-03-07","2016-03-13",3,10,0,0,0,0,0,4507,"2016-03-07"
"11","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-03-14","2016-03-20",3,11,0,0,0,0,0,4581,"2016-03-14"
"12","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-03-21","2016-03-27",3,12,0,0,0,0,0,4537,"2016-03-21"
"13","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-03-28","2016-04-03",3,13,0,0,1,0,0,4571,"2016-03-28"
"14","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-04-04","2016-04-10",4,14,0,0,1,0,0,4944,"2016-04-04"
"15","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-04-11","2016-04-17",4,15,0,0,0,0,0,4775,"2016-04-11"
"16","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-04-18","2016-04-24",4,16,0,0,0,0,0,4722,"2016-04-18"
"17","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-04-25","2016-05-01",4,17,0,0,0,0,0,4628,"2016-04-25"
"18","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-05-02","2016-05-08",5,18,0,0,0,0,0,4458,"2016-05-02"
"19","AHA JOGHURT LAKTOSEF CLAS",2016,"2016-05-09","2016-05-15",5,19,0,0,0,0,0,5300,"2016-05-09"
