,article_name,date,sales
0,AHA JOGHURT LAKTOSEF CLAS,2022-07-31,3614.427800925914
1,BIFIDUS JOGH. NATURE 150G,2022-07-31,11644.90648343272
2,BIFIDUS JOGH. NATURE 500G,2022-07-31,5000.518247322609
3,BIO FAIRT.JOG.MOKKA 180G,2022-07-31,2601.3858713744994
4,BIO JOGHURT NATURE 180G,2022-07-31,5409.198950204263
5,BIO JOGHURT NATURE 500G,2022-07-31,4495.3627702602125
6,EXC JOGHURT TRUFFES 150G,2022-07-31,3791.5322389502367
7,M-CLAS JOG. APF/MANG 200G,2022-07-31,6858.5289723285905
8,M-CLAS JOG. ERDBEER 200G,2022-07-31,7760.252980892171
9,M-CLAS JOG. HASELNUS 200G,2022-07-31,6636.120332967449
10,M-CLAS JOG. HEIDELBE 200G,2022-07-31,6653.219601736802
11,M-CLAS JOG. HIMBEER 200G,2022-07-31,5970.832453185948
12,M-CLAS JOG. NATURE 200G,2022-07-31,4144.725519311943
13,M-CLAS JOG. SCHOKOLA 200G,2022-07-31,18182.52085084555
14,M-CLAS JOG. VANILLE 200G,2022-07-31,3311.7757421658894
15,M-CLAS JOGHURT MOKKA 200G,2022-07-31,15773.950478289962
16,MB JOGHURT NATUR 500G,2022-07-31,5625.536735705225
17,VALFLORA CREME FRAICHE NA,2022-07-31,8515.081411059029
18,YOGOS GRECQUE NATURE 180G,2022-07-31,5567.78637514458
19,AHA JOGHURT LAKTOSEF CLAS,2022-08-07,4074.905137679788
20,BIFIDUS JOGH. NATURE 150G,2022-08-07,13128.4651044862
21,BIFIDUS JOGH. NATURE 500G,2022-08-07,5637.583213546694
22,BIO FAIRT.JOG.MOKKA 180G,2022-08-07,2932.801880739197
23,BIO JOGHURT NATURE 180G,2022-08-07,6098.329751467974
24,BIO JOGHURT NATURE 500G,2022-08-07,5068.071035635346
25,EXC JOGHURT TRUFFES 150G,2022-08-07,4274.572643619823
26,M-CLAS JOG. APF/MANG 200G,2022-08-07,7732.304111623976
27,M-CLAS JOG. ERDBEER 200G,2022-08-07,8748.907568006105
28,M-CLAS JOG. HASELNUS 200G,2022-08-07,7481.560658686579
29,M-CLAS JOG. HEIDELBE 200G,2022-08-07,7500.8383706776585
30,M-CLAS JOG. HIMBEER 200G,2022-08-07,6731.515243845742
31,M-CLAS JOG. NATURE 200G,2022-08-07,4672.762673137415
